 3686   3591    18.94   1.64     1.18   0.01   3.83   0.01   0.85   -45    0.94   0.01   3.31   0.03
 4539   4665    19.12   1.62    19.59   0.63   4.75   0.05   0.71   -42    7.73   0.37   3.69   0.07
 3047   2839    19.34   1.58     0.49   0.01   3.65   0.04   0.97    39    0.53   0.01   3.92   0.05
 3567   5208    19.42   1.60     0.79   0.01   5.97   0.04   0.41   -11    0.83   0.02   5.82   0.07
 5571   4111.   19.48   1.47     0.63   0.01   5.51   0.03   0.69    62    0.73   0.01   6.01   0.06
 2867   5856    19.51   1.57     1.36   0.02   7.54   0.04   0.98    19    1.19   0.04   6.99   0.10
 4004   4408    19.56   1.59     0.46   0.01   2.52   0.01   0.53   -15    0.54   0.01   2.87   0.03
 6431   4479    19.63   1.52     1.00   0.01   4.22   0.02   0.34   -77    2.43   0.10   6.74   0.11
 2462   4818    19.69   1.50     0.49   0.01   5.08   0.06   0.87   -78    0.49   0.02   5.09   0.08
 6162   4104    19.73   1.56     0.41   0.01   4.25   0.02   0.86   -15    1.14   0.06   7.53   0.15
 4480   2613    19.77   1.44     1.80   0.05   9.50   0.10   0.73   -60    1.38   0.07   8.04   0.15
 2477   4977    19.88   1.54     0.68   0.01   5.23   0.04   0.27   -54    0.60   0.01   4.30   0.05
 5719   5850    19.89   1.47     0.56   0.01   3.74   0.02   0.56    63    1.91   0.14   6.71   0.17
 5215   3969    19.89   1.50     0.46   0.01   2.93   0.01   0.43    40    0.46   0.01   2.85   0.03
 5184   6267    19.96   1.56     0.95   0.02   6.30   0.07   0.68    10    0.76   0.02   5.09   0.06
 5085   6244    19.97   1.58     0.94   0.01   5.40   0.05   0.69    29    1.14   0.05   5.65   0.10
 4593   6136    19.98   1.58     0.52   0.01   5.19   0.03   0.98    74    0.94   0.06   6.55   0.17
 5544   3966    20.00   1.56     0.47   0.01   3.51   0.02   0.87   -52    0.57   0.01   4.07   0.06
 3084   2732    20.04   1.52     0.46   0.01   2.36   0.03   0.31   -27    1.24   0.06   5.27   0.11
 4425   4511    20.04   1.44     0.43   0.01   4.46   0.08   0.62   -44    0.94   0.09   7.30   0.31
 4628   4968    20.04   1.56     0.27   0.01   3.10   0.03   0.89    46    0.51   0.02   5.32   0.10
